time,id_command,id_feedback,iq_command,iq_feedback
0.000486,0,0.002518929,40,17.29295053
0.000487,0,0.002539974,40,17.3310944
0.000488,0,0.002561149,40,17.36922553
0.000489,0,0.002582454,40,17.40734391
0.00049,0,0.002603889,40,17.44544956
0.000491,0,0.002625456,40,17.48354246
0.000492,0,0.002647154,40,17.52162263
0.000493,0,0.002668984,40,17.55969007
0.000494,0,0.002690947,40,17.59774479
0.000495,0,0.002713042,40,17.63578678
0.000496,0,0.002728476,40,17.6299018
0.000497,0,0.002743964,40,17.62401874
0.000498,0,0.002759506,40,17.61813758
0.000499,0,0.002775104,40,17.61225834
0.0005,0,0.002790755,40,17.606381
0.000501,0,0.002806461,40,17.60050558
0.000502,0,0.00282222,40,17.59463206
0.000503,0,0.002838034,40,17.58876044
0.000504,0,0.002853902,40,17.58289074
0.000505,0,0.002869824,40,17.57702294
0.000506,0,0.0028858,40,17.57115705
0.000507,0,0.00290183,40,17.56529306
0.000508,0,0.002917913,40,17.55943097
0.000509,0,0.00294139,40,17.59748504
0.00051,0,0.002965003,40,17.6355264
0.000511,0,0.002988755,40,17.67355503
0.000512,0,0.003012645,40,17.71157095
0.000513,0,0.003036673,40,17.74957417
0.000514,0,0.003060841,40,17.78756468
0.000515,0,0.003085149,40,17.82554249
0.000516,0,0.003109597,40,17.8635076
0.000517,0,0.003134186,40,17.90146002
0.000518,0,0.003158916,40,17.93939976
0.000519,0,0.003183788,40,17.97732681
0.00052,0,0.003208803,40,18.01524118
0.000521,0,0.00323396,40,18.05314287
0.000522,0,0.003259262,40,18.0910319
0.000523,0,0.003284707,40,18.12890825
0.000524,0,0.003310297,40,18.16677195
0.000525,0,0.003336032,40,18.20462298
0.000526,0,0.003361913,40,18.24246136
0.000527,0,0.00338794,40,18.28028709
0.000528,0,0.003414113,40,18.31810018
0.000529,0,0.003440434,40,18.35590062
0.00053,0,0.003466903,40,18.39368842
0.000531,0,0.003493521,40,18.43146359
0.000532,0,0.003520287,40,18.46922612
0.000533,0,0.003547203,40,18.50697603
0.000534,0,0.003574269,40,18.54471332
0.000535,0,0.003601485,40,18.58243799
0.000536,0,0.003628853,40,18.62015005
0.000537,0,0.003656372,40,18.6578495
0.000538,0,0.003684043,40,18.69553634
0.000539,0,0.003711868,40,18.73321058
0.00054,0,0.003739845,40,18.77087223
0.000541,0,0.003767977,40,18.80852127
0.000542,0,0.003796263,40,18.84615774
0.000543,0,0.003824704,40,18.88378161
0.000544,0,0.0038533,40,18.92139291
0.000545,0,0.003882053,40,18.95899162
0.000546,0,0.003910962,40,18.99657777
0.000547,0,0.003940029,40,19.03415134
0.000548,0,0.003969253,40,19.07171235
0.000549,0,0.003998635,40,19.1092608
0.00055,0,0.004028177,40,19.1467967
0.000551,0,0.004057878,40,19.18432004
0.000552,0,0.004087739,40,19.22183083
0.000553,0,0.00411776,40,19.25932908
0.000554,0,0.004147943,40,19.29681479
0.000555,0,0.004178288,40,19.33428796
0.000556,0,0.004208794,40,19.3717486
0.000557,0,0.004239464,40,19.40919671
0.000558,0,0.004270297,40,19.4466323
0.000559,0,0.004301294,40,19.48405536
0.00056,0,0.004332455,40,19.52146592
0.000561,0,0.004363782,40,19.55886396
0.000562,0,0.004395274,40,19.59624949
0.000563,0,0.004426933,40,19.63362252
0.000564,0,0.004458758,40,19.67098304
0.000565,0,0.004490751,40,19.70833108
0.000566,0,0.004522912,40,19.74566662
0.000567,0,0.004555241,40,19.78298967
0.000568,0,0.004587739,40,19.82030024
0.000569,0,0.004620408,40,19.85759834
0.00057,0,0.004653246,40,19.89488395
0.000571,0,0.004686255,40,19.9321571
0.000572,0,0.004719436,40,19.96941777
0.000573,0,0.004752789,40,20.00666599
0.000574,0,0.004786314,40,20.04390174
0.000575,0,0.004820013,40,20.08112504
0.000576,0,0.004853885,40,20.11833589
0.000577,0,0.004887931,40,20.1555343
0.000578,0,0.004922153,40,20.19272026
0.000579,0,0.00495655,40,20.22989378
0.00058,0,0.004991123,40,20.26705486
0.000581,0,0.005025873,40,20.30420352
0.000582,0,0.0050608,40,20.34133975
0.000583,0,0.005095905,40,20.37846355
0.000584,0,0.005131188,40,20.41557494
0.000585,0,0.005166651,40,20.45267391
0.000586,0,0.005202293,40,20.48976047
0.000587,0,0.005238115,40,20.52683463
0.000588,0,0.005274118,40,20.56389638
0.000589,0,0.005310302,40,20.60094573
0.00059,0,0.005346669,40,20.63798269
0.000591,0,0.005383218,40,20.67500726
0.000592,0,0.00541995,40,20.71201944
0.000593,0,0.005456866,40,20.74901924
0.000594,0,0.005493966,40,20.78600666
0.000595,0,0.005531251,40,20.82298171
0.000596,0,0.005557,40,20.81603013
0.000597,0,0.005582821,40,20.80908081
0.000598,0,0.005608716,40,20.80213375
0.000599,0,0.005634683,40,20.79518894
0.0006,0,0.005660723,40,20.78824639
0.000601,0,0.005686836,40,20.78130609
0.000602,0,0.005713022,40,20.77436805
0.000603,0,0.00573928,40,20.76743226
0.000604,0,0.00576561,40,20.76049872
0.000605,0,0.005792012,40,20.75356744
0.000606,0,0.005818486,40,20.7466384
0.000607,0,0.005845033,40,20.73971161
0.000608,0,0.005871651,40,20.73278708
0.000609,0,0.005910837,40,20.76977904
0.00061,0,0.005950213,40,20.80675863
0.000611,0,0.005989779,40,20.84372585
0.000612,0,0.006029536,40,20.8806807
0.000613,0,0.006069483,40,20.91762318
0.000614,0,0.006109623,40,20.95455331
0.000615,0,0.006149955,40,20.99147108
0.000616,0,0.00619048,40,21.02837649
0.000617,0,0.006231198,40,21.06526956
0.000618,0,0.006272111,40,21.10215029
0.000619,0,0.006313219,40,21.13901868
0.00062,0,0.006354521,40,21.17587473
0.000621,0,0.00639602,40,21.21271845
0.000622,0,0.006437716,40,21.24954984
0.000623,0,0.006479609,40,21.2863689
0.000624,0,0.006521699,40,21.32317565
0.000625,0,0.006563988,40,21.35997008
0.000626,0,0.006606477,40,21.3967522
0.000627,0,0.006649164,40,21.43352201
0.000628,0,0.006692052,40,21.47027952
0.000629,0,0.006735141,40,21.50702473
0.00063,0,0.006778432,40,21.54375764
0.000631,0,0.006821924,40,21.58047826
0.000632,0,0.006865619,40,21.6171866
0.000633,0,0.006909518,40,21.65388265
0.000634,0,0.00695362,40,21.69056642
0.000635,0,0.006997927,40,21.72723791
0.000636,0,0.007042439,40,21.76389713
0.000637,0,0.007087157,40,21.80054409
0.000638,0,0.007132081,40,21.83717878
0.000639,0,0.007177212,40,21.87380121
0.00064,0,0.007222551,40,21.91041138
0.000641,0,0.007268098,40,21.9470093
0.000642,0,0.007313854,40,21.98359498
0.000643,0,0.007359819,40,22.02016841
0.000644,0,0.007405995,40,22.0567296
0.000645,0,0.007452381,40,22.09327855
0.000646,0,0.007498978,40,22.12981527
0.000647,0,0.007545788,40,22.16633977
0.000648,0,0.00759281,40,22.20285204
0.000649,0,0.007640045,40,22.23935209
0.00065,0,0.007687494,40,22.27583992
0.000651,0,0.007735158,40,22.31231554
0.000652,0,0.007783036,40,22.34877896
0.000653,0,0.007831131,40,22.38523016
0.000654,0,0.007879441,40,22.42166917
0.000655,0,0.007927969,40,22.45809598
0.000656,0,0.007976714,40,22.4945106
0.000657,0,0.008025678,40,22.53091304
0.000658,0,0.00807486,40,22.56730328
0.000659,0,0.008124262,40,22.60368135
0.00066,0,0.008173884,40,22.64004724
0.000661,0,0.008223726,40,22.67640096
0.000662,0,0.008273791,40,22.7127425
0.000663,0,0.008324077,40,22.74907189
0.000664,0,0.008374586,40,22.78538911
0.000665,0,0.008425318,40,22.82169418
0.000666,0,0.008476274,40,22.85798709
0.000667,0,0.008527454,40,22.89426785
0.000668,0,0.00857886,40,22.93053647
0.000669,0,0.008630492,40,22.96679295
0.00067,0,0.00868235,40,23.00303729
0.000671,0,0.008734435,40,23.0392695
0.000672,0,0.008786748,40,23.07548958
0.000673,0,0.00883929,40,23.11169753
0.000674,0,0.00889206,40,23.14789336
0.000675,0,0.00894506,40,23.18407708
0.000676,0,0.008998291,40,23.22024868
0.000677,0,0.009051752,40,23.25640817
0.000678,0,0.009105446,40,23.29255556
0.000679,0,0.009159371,40,23.32869084
0.00068,0,0.009213529,40,23.36481403
0.000681,0,0.009267921,40,23.40092512
0.000682,0,0.009322548,40,23.43702412
0.000683,0,0.009377409,40,23.47311104
0.000684,0,0.009432505,40,23.50918587
0.000685,0,0.009487838,40,23.54524863
0.000686,0,0.009543407,40,23.58129931
0.000687,0,0.009599215,40,23.61733792
0.000688,0,0.00965526,40,23.65336447
0.000689,0,0.009711544,40,23.68937895
0.00069,0,0.009768067,40,23.72538138
0.000691,0,0.00982483,40,23.76137175
0.000692,0,0.009881835,40,23.79735007
0.000693,0,0.00993908,40,23.83331634
0.000694,0,0.009996568,40,23.86927057
0.000695,0,0.010054298,40,23.90521276
0.000696,0,0.010093726,40,23.89722867
0.000697,0,0.010133245,40,23.88924716
0.000698,0,0.010172857,40,23.88126825
0.000699,0,0.010212561,40,23.87329193
0.0007,0,0.010252357,40,23.8653182
0.000701,0,0.010292244,40,23.85734706
0.000702,0,0.010332224,40,23.84937851
0.000703,0,0.010372294,40,23.84141255
0.000704,0,0.010412456,40,23.83344917
0.000705,0,0.01045271,40,23.82548838
0.000706,0,0.010493054,40,23.81753017
0.000707,0,0.010533489,40,23.80957455
0.000708,0,0.010574015,40,23.80162151
0.000709,0,0.01063422,40,23.8375853
0.00071,0,0.010694672,40,23.87353706
0.000711,0,0.010755373,40,23.90947677
0.000712,0,0.010816323,40,23.94540445
0.000713,0,0.010877521,40,23.9813201
0.000714,0,0.01093897,40,24.01722372
0.000715,0,0.01100067,40,24.05311532
0.000716,0,0.011062621,40,24.0889949
0.000717,0,0.011124825,40,24.12486246
0.000718,0,0.011187281,40,24.16071802
0.000719,0,0.01124999,40,24.19656157
0.00072,0,0.011312954,40,24.23239311
0.000721,0,0.011376172,40,24.26821266
0.000722,0,0.011439646,40,24.30402021
0.000723,0,0.011503376,40,24.33981577
0.000724,0,0.011567363,40,24.37559934
0.000725,0,0.011631607,40,24.41137093
0.000726,0,0.011696109,40,24.44713054
0.000727,0,0.011760869,40,24.48287817
0.000728,0,0.011825889,40,24.51861383
0.000729,0,0.01189117,40,24.55433753
0.00073,0,0.011956711,40,24.59004925
0.000731,0,0.012022513,40,24.62574902
0.000732,0,0.012088577,40,24.66143683
0.000733,0,0.012154904,40,24.69711269
0.000734,0,0.012221495,40,24.73277661
0.000735,0,0.01228835,40,24.76842857
0.000736,0,0.012355469,40,24.8040686
0.000737,0,0.012422854,40,24.83969669
0.000738,0,0.012490505,40,24.87531284
0.000739,0,0.012558422,40,24.91091707
0.00074,0,0.012626607,40,24.94650937
0.000741,0,0.01269506,40,24.98208975
0.000742,0,0.012763782,40,25.01765821
0.000743,0,0.012832774,40,25.05321476
0.000744,0,0.012902035,40,25.08875939
0.000745,0,0.012971568,40,25.12429213
0.000746,0,0.013041372,40,25.15981295
0.000747,0,0.013111448,40,25.19532189
0.000748,0,0.013181797,40,25.23081892
0.000749,0,0.013252419,40,25.26630407
0.00075,0,0.013323316,40,25.30177733
0.000751,0,0.013394488,40,25.33723871
0.000752,0,0.013465935,40,25.3726882
0.000753,0,0.013537658,40,25.40812583
0.000754,0,0.013609659,40,25.44355158
0.000755,0,0.013681937,40,25.47896546
0.000756,0,0.013754493,40,25.51436748
0.000757,0,0.013827329,40,25.54975764
0.000758,0,0.013900444,40,25.58513595
0.000759,0,0.013973839,40,25.6205024
0.00076,0,0.014047516,40,25.65585701
0.000761,0,0.014121474,40,25.69119977
0.000762,0,0.014195715,40,25.72653069
0.000763,0,0.014270239,40,25.76184977
0.000764,0,0.014345046,40,25.79715702
0.000765,0,0.014420139,40,25.83245244
0.000766,0,0.014495516,40,25.86773604
0.000767,0,0.014571179,40,25.90300781
0.000768,0,0.014647129,40,25.93826777
0.000769,0,0.014723366,40,25.97351591
0.00077,0,0.014799891,40,26.00875225
0.000771,0,0.014876705,40,26.04397677
0.000772,0,0.014953808,40,26.0791895
0.000773,0,0.015031202,40,26.11439043
0.000774,0,0.015108886,40,26.14957956
0.000775,0,0.015186861,40,26.1847569
0.000776,0,0.015265129,40,26.21992246
0.000777,0,0.015343689,40,26.25507623
0.000778,0,0.015422543,40,26.29021823
0.000779,0,0.015501691,40,26.32534845
0.00078,0,0.015581134,40,26.36046689
0.000781,0,0.015660873,40,26.39557357
0.000782,0,0.015740908,40,26.43066849
0.000783,0,0.01582124,40,26.46575164
0.000784,0,0.01590187,40,26.50082304
0.000785,0,0.015982799,40,26.53588269
0.000786,0,0.016064026,40,26.57093059
0.000787,0,0.016145554,40,26.60596674
0.000788,0,0.016227382,40,26.64099115
0.000789,0,0.016309511,40,26.67600383
0.00079,0,0.016391942,40,26.71100477
0.000791,0,0.016474676,40,26.74599398
0.000792,0,0.016557713,40,26.78097147
0.000793,0,0.016641055,40,26.81593723
0.000794,0,0.016724701,40,26.85089128
0.000795,0,0.016808652,40,26.88583361
0.000796,0,0.016865358,40,26.87684999
0.000797,0,0.016922175,40,26.86786928
0.000798,0,0.016979104,40,26.85889149
0.000799,0,0.017036145,40,26.84991661
0.0008,0,0.017093296,40,26.84094465
0.000801,0,0.017150559,40,26.83197561
0.000802,0,0.017207933,40,26.82300947
0.000803,0,0.017265417,40,26.81404625
0.000804,0,0.017323012,40,26.80508593
0.000805,0,0.017380717,40,26.79612853
0.000806,0,0.017438533,40,26.78717403
0.000807,0,0.017496458,40,26.77822245
0.000808,0,0.017554493,40,26.76927377
0.000809,0,0.017641536,40,26.80424224
0.00081,0,0.01772889,40,26.83919899
0.000811,0,0.017816555,40,26.87414402
0.000812,0,0.017904532,40,26.90907735
0.000813,0,0.017992821,40,26.94399896
0.000814,0,0.018081424,40,26.97890887
0.000815,0,0.018170341,40,27.01380709
0.000816,0,0.018259573,40,27.0486936
0.000817,0,0.01834912,40,27.08356843
0.000818,0,0.018438984,40,27.11843156
0.000819,0,0.018529164,40,27.15328301
0.00082,0,0.018619662,40,27.18812278
0.000821,0,0.018710479,40,27.22295088
0.000822,0,0.018801614,40,27.25776729
0.000823,0,0.018893069,40,27.29257204
0.000824,0,0.018984845,40,27.32736513
0.000825,0,0.019076942,40,27.36214655
0.000826,0,0.019169361,40,27.39691631
0.000827,0,0.019262102,40,27.43167442
0.000828,0,0.019355167,40,27.46642088
0.000829,0,0.019448556,40,27.50115569
0.00083,0,0.019542269,40,27.53587885
0.000831,0,0.019636309,40,27.57059038
0.000832,0,0.019730674,40,27.60529027
0.000833,0,0.019825366,40,27.63997854
0.000834,0,0.019920386,40,27.67465517
0.000835,0,0.020015734,40,27.70932018
0.000836,0,0.020111412,40,27.74397356
0.000837,0,0.020207419,40,27.77861533
0.000838,0,0.020303757,40,27.81324549
0.000839,0,0.020400426,40,27.84786404
0.00084,0,0.020497427,40,27.88247098
0.000841,0,0.02059476,40,27.91706633
0.000842,0,0.020692427,40,27.95165007
0.000843,0,0.020790429,40,27.98622222
0.000844,0,0.020888765,40,28.02078278
0.000845,0,0.020987436,40,28.05533175
0.000846,0,0.021086444,40,28.08986914
0.000847,0,0.02118579,40,28.12439495
0.000848,0,0.021285472,40,28.15890919
0.000849,0,0.021385494,40,28.19341185
0.00085,0,0.021485854,40,28.22790295
0.000851,0,0.021586555,40,28.26238248
0.000852,0,0.021687596,40,28.29685045
0.000853,0,0.021788979,40,28.33130686
0.000854,0,0.021890704,40,28.36575173
0.000855,0,0.021992771,40,28.40018504
0.000856,0,0.022095183,40,28.43460681
0.000857,0,0.022197939,40,28.46901703
0.000858,0,0.022301039,40,28.50341572
0.000859,0,0.022404486,40,28.53780287
0.00086,0,0.022508279,40,28.5721785
0.000861,0,0.022612419,40,28.60654259
0.000862,0,0.022716908,40,28.64089517
0.000863,0,0.022821745,40,28.67523622
0.000864,0,0.022926932,40,28.70956576
0.000865,0,0.023032469,40,28.74388379
0.000866,0,0.023138357,40,28.77819031
0.000867,0,0.023244596,40,28.81248533
0.000868,0,0.023351188,40,28.84676884
0.000869,0,0.023458133,40,28.88104086
0.00087,0,0.023565433,40,28.91530139
0.000871,0,0.023673086,40,28.94955042
0.000872,0,0.023781096,40,28.98378797
0.000873,0,0.023889461,40,29.01801404
0.000874,0,0.023998183,40,29.05222863
0.000875,0,0.024107263,40,29.08643175
0.000876,0,0.024216701,40,29.1206234
0.000877,0,0.024326498,40,29.15480358
0.000878,0,0.024436656,40,29.18897229
0.000879,0,0.024547173,40,29.22312955
0.00088,0,0.024658052,40,29.25727535
0.000881,0,0.024769294,40,29.2914097
0.000882,0,0.024880898,40,29.3255326
0.000883,0,0.024992865,40,29.35964405
0.000884,0,0.025105197,40,29.39374407
0.000885,0,0.025217894,40,29.42783265
0.000886,0,0.025330957,40,29.46190979
0.000887,0,0.025444386,40,29.49597551
0.000888,0,0.025558183,40,29.53002979
0.000889,0,0.025672348,40,29.56407266
0.00089,0,0.025786881,40,29.59810411
0.000891,0,0.025901785,40,29.63212414
0.000892,0,0.026017058,40,29.66613276
0.000893,0,0.026132703,40,29.70012998
0.000894,0,0.026248719,40,29.73411579
0.000895,0,0.026365108,40,29.7680902
0.000896,0,0.026442856,40,29.75813897
0.000897,0,0.026520734,40,29.74819098
0.000898,0,0.026598744,40,29.73824622
0.000899,0,0.026676883,40,29.72830469
0.0009,0,0.026755153,40,29.71836638
0.000901,0,0.026833554,40,29.7084313
0.000902,0,0.026912083,40,29.69849945
0.000903,0,0.026990743,40,29.68857082
0.000904,0,0.027069532,40,29.67864542
0.000905,0,0.02714845,40,29.66872324
0.000906,0,0.027227497,40,29.65880428
0.000907,0,0.027306673,40,29.64888854
0.000908,0,0.027385977,40,29.63897603
0.000909,0,0.027506109,40,29.67298096
0.00091,0,0.027626618,40,29.70697449
0.000911,0,0.027747507,40,29.74095662
0.000912,0,0.027868774,40,29.77492735
0.000913,0,0.027990422,40,29.80888668
0.000914,0,0.02811245,40,29.84283462
0.000915,0,0.02823486,40,29.87677118
0.000916,0,0.028357652,40,29.91069634
0.000917,0,0.028480827,40,29.94461013
0.000918,0,0.028604386,40,29.97851255
0.000919,0,0.028728329,40,30.01240358
0.00092,0,0.028852658,40,30.04628325
0.000921,0,0.028977373,40,30.08015156
0.000922,0,0.029102475,40,30.1140085
0.000923,0,0.029227964,40,30.14785408
0.000924,0,0.029353841,40,30.18168831
0.000925,0,0.029480108,40,30.21551119
0.000926,0,0.029606764,40,30.24932272
0.000927,0,0.029733811,40,30.28312291
0.000928,0,0.029861249,40,30.31691175
0.000929,0,0.02998908,40,30.35068926
0.00093,0,0.030117303,40,30.38445544
0.000931,0,0.03024592,40,30.41821029
0.000932,0,0.030374931,40,30.45195382
0.000933,0,0.030504337,40,30.48568602
0.000934,0,0.03063414,40,30.5194069
0.000935,0,0.030764339,40,30.55311647
0.000936,0,0.030894935,40,30.58681473
0.000937,0,0.031025929,40,30.62050169
0.000938,0,0.031157323,40,30.65417734
0.000939,0,0.031289116,40,30.68784169
0.00094,0,0.031421309,40,30.72149474
0.000941,0,0.031553904,40,30.7551365
0.000942,0,0.031686901,40,30.78876698
0.000943,0,0.031820301,40,30.82238617
0.000944,0,0.031954104,40,30.85599408
0.000945,0,0.032088311,40,30.88959071
0.000946,0,0.032222924,40,30.92317606
0.000947,0,0.032357942,40,30.95675015
0.000948,0,0.032493367,40,30.99031297
0.000949,0,0.032629199,40,31.02386452
0.00095,0,0.032765439,40,31.05740482
0.000951,0,0.032902088,40,31.09093386
0.000952,0,0.033039147,40,31.12445165
